"area" "perimeter" "compactness" "asymmetry" "species"
"1" 15.26 14.84 0.871 2.221 "Kama"
"2" 14.88 14.57 0.8811 1.018 "Kama"
"3" 14.29 14.09 0.905 2.699 "Kama"
"4" 13.84 13.94 0.8955 2.259 "Kama"
"5" 16.14 14.99 0.9034 1.355 "Kama"
"6" 14.38 14.21 0.8951 2.462 "Kama"
"7" 14.69 14.49 0.8799 3.586 "Kama"
"8" 14.11 14.1 0.8911 2.7 "Kama"
"9" 16.63 15.46 0.8747 2.04 "Kama"
"10" 16.44 15.25 0.888 1.969 "Kama"
"11" 15.26 14.85 0.8696 4.543 "Kama"
"12" 14.03 14.16 0.8796 1.717 "Kama"
"13" 13.89 14.02 0.888 3.986 "Kama"
"14" 13.78 14.06 0.8759 3.136 "Kama"
"15" 13.74 14.05 0.8744 2.932 "Kama"
"16" 14.59 14.28 0.8993 4.185 "Kama"
"17" 13.99 13.83 0.9183 5.234 "Kama"
"18" 15.69 14.75 0.9058 1.599 "Kama"
"19" 14.7 14.21 0.9153 1.767 "Kama"
"20" 12.72 13.57 0.8686 4.102 "Kama"
"21" 14.16 14.4 0.8584 3.072 "Kama"
"22" 14.11 14.26 0.8722 2.688 "Kama"
"23" 15.88 14.9 0.8988 0.7651 "Kama"
"24" 12.08 13.23 0.8664 1.415 "Kama"
"25" 15.01 14.76 0.8657 1.791 "Kama"
"26" 16.19 15.16 0.8849 0.903 "Kama"
"27" 13.02 13.76 0.8641 3.373 "Kama"
"28" 12.74 13.67 0.8564 2.504 "Kama"
"29" 14.11 14.18 0.882 2.754 "Kama"
"30" 13.45 14.02 0.8604 3.531 "Kama"
"31" 13.16 13.82 0.8662 0.8551 "Kama"
"32" 15.49 14.94 0.8724 3.412 "Kama"
"33" 14.09 14.41 0.8529 3.92 "Kama"
"34" 13.94 14.17 0.8728 2.124 "Kama"
"35" 15.05 14.68 0.8779 2.129 "Kama"
"36" 16.12 15 0.9 2.27 "Kama"
"37" 16.2 15.27 0.8734 2.823 "Kama"
"38" 17.08 15.38 0.9079 2.956 "Kama"
"39" 14.8 14.52 0.8823 3.112 "Kama"
"40" 14.28 14.17 0.8944 6.685 "Kama"
"41" 13.54 13.85 0.8871 2.587 "Kama"
"42" 13.5 13.85 0.8852 2.249 "Kama"
"43" 13.16 13.55 0.9009 2.461 "Kama"
"44" 15.5 14.86 0.882 4.711 "Kama"
"45" 15.11 14.54 0.8986 3.128 "Kama"
"46" 13.8 14.04 0.8794 1.56 "Kama"
